SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19990617,-,-,-,489.37,-,0,0
NIFTYPSE,19990618,-,-,-,490.52,-,0,0
NIFTYPSE,19990621,-,-,-,499.64,-,0,0
NIFTYPSE,19990622,-,-,-,492.21,-,0,0
NIFTYPSE,19990623,-,-,-,492.70,-,0,0
NIFTYPSE,19990624,-,-,-,486.31,-,0,0
NIFTYPSE,19990625,-,-,-,487.56,-,0,0
NIFTYPSE,19990628,-,-,-,488.03,-,0,0
NIFTYPSE,19990629,-,-,-,483.82,-,0,0
NIFTYPSE,19990630,-,-,-,491.52,-,0,0
NIFTYPSE,19990701,-,-,-,486.07,-,0,0
NIFTYPSE,19990702,-,-,-,491.77,-,0,0
NIFTYPSE,19990705,-,-,-,507.19,-,0,0
NIFTYPSE,19990706,-,-,-,511.64,-,0,0
NIFTYPSE,19990707,-,-,-,510.30,-,0,0
NIFTYPSE,19990708,-,-,-,504.50,-,0,0
NIFTYPSE,19990709,-,-,-,510.20,-,0,0
NIFTYPSE,19990712,-,-,-,551.32,-,0,0
NIFTYPSE,19990713,-,-,-,574.30,-,0,0
NIFTYPSE,19990714,-,-,-,599.16,-,0,0
NIFTYPSE,19990715,-,-,-,601.01,-,0,0
NIFTYPSE,19990716,-,-,-,621.53,-,0,0
